Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total_x,Banda ancha fija,Dial up,Total_y
2023,2,Catamarca,17.15,67.42,86.13,710,2260,3329,4076,4788,2285,58048,1670,72990,72989,1.0,72990
2023,2,Chaco,11.46,42.87,105.45,2360,4750,14630,14176,7446,3008,97897,3987,141855,141850,5.0,141855
2023,2,Chubut,25.28,82.49,18.58,1090,1467,45798,31021,2475,17708,28859,14249,163961,163078,883.0,163961
2023,2,Córdoba,27.59,90.13,111.82,990,8627,126496,99026,5224,25144,712647,43472,1067751,1067686,65.0,1067751
2023,2,Corrientes,13.79,52.37,97.21,670,2945,21781,22144,5937,4593,93048,7779,158294,158290,4.0,158294
2023,2,Entre Ríos,19.26,64.43,89.37,1070,4377,39693,4924,20231,22661,137638,0,273947,273927,20.0,273947
2023,2,Formosa,9.75,38.32,77.32,840,1860,21944,11825,5202,3000,20428,3810,60350,60350,0.0,60350
2023,2,Jujuy,14.78,57.78,43.56,580,144,16174,12344,29181,3000,55867,2078,117442,117442,0.0,117442
2023,2,La Pampa,32.4,98.35,22.78,680,1365,48635,18475,14999,4266,29134,1968,118910,118744,166.0,118910
2023,2,La Rioja,21.3,80.01,63.55,180,4540,1719,2236,24737,4888,52920,0,86972,86968,4.0,86972
2023,2,Mendoza,14.54,52.09,42.69,1030,2945,36286,20985,33217,12649,176628,14863,297676,296921,755.0,297676
2023,2,Misiones,15.03,55.18,90.55,510,3247,34144,22649,12055,3862,110815,8648,195471,195471,0.0,195471
2023,2,Neuquén,23.5,78.97,93.97,1680,9840,38006,13946,13275,6649,85749,2969,161746,161289,457.0,161746
2023,2,Río Negro,21.09,68.56,70.76,1110,107,29535,1505,20561,22752,58834,15466,163379,162848,531.0,163379
2023,2,Salta,13.92,57.48,79.1,1140,1042,29687,67966,4523,940,95063,6839,205328,205323,5.0,205328
2023,2,San Juan,12.1,47.52,20.39,240,202,21766,1281,13276,10042,21369,16142,97449,97189,260.0,97449
2023,2,San Luis,26.73,93.41,103.84,600,6240,11543,23932,12756,74914,15090,1829,140748,140575,173.0,140748
2023,2,Santa Cruz,12.39,41.66,15.48,490,672,10609,11253,9733,3667,6315,2560,48602,48410,192.0,48602
2023,2,Santa Fe,24.79,78.83,94.87,4680,7021,89275,172672,71957,24123,499408,3089,895814,895706,108.0,895814
2023,2,Santiago Del Estero,11.7,47.14,37.62,1780,1152,16847,55281,2652,7660,16066,9990,117809,117807,2.0,117809
2023,2,Tierra Del Fuego,31.54,106.38,16.92,220,8310,10556,12748,20962,4707,3901,4908,58635,58325,310.0,58635
2023,2,Tucumán,15.05,60.75,96.69,390,1091,21163,27206,2591,1661,185887,6450,263602,263573,29.0,263602
2023,1,Buenos Aires,26.81,79.0,116.18,28615,25137,249864,264388,241923,104495,3810940,95566,4820928,4814729,6.199,4820928
2023,1,Capital Federal,50.23,122.59,188.65,5160,45,28668,60061,34974,7859,1305284,106867,1548729,1546584,2.145,1548729
2023,1,Catamarca,16.83,66.17,87.41,710,2210,2192,4352,3794,2607,55944,2311,71492,71491,1.0,71492
2023,1,Chaco,11.53,43.15,104.33,2360,5440,15113,1519,7729,302,96663,3947,142442,142437,5.0,142442
