Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,Tigre,Los Troncos Del Talar,6805010,203.0,6485.0,0.0,3753.0,0.0,1.0,0.0,0.0,10442.0,2.0,1.0,14.0,26.0,247.0,14.0,35.0,10189.0
Buenos Aires,Tigre,OTROS,Sin Datos,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,
Buenos Aires,Tigre,Ricardo Rojas,6805010,1056.0,3586.0,0.0,2481.0,6.0,0.0,0.0,0.0,7129.0,1075.0,0.0,0.0,6.0,145.0,0.0,11.0,5934.0
Buenos Aires,Tigre,Rincón de Milberg,6805010,806.0,9367.0,0.0,2532.0,0.0,0.0,0.0,45.0,12750.0,1.0,0.0,28.0,49.0,528.0,128.0,197.0,11995.0
Buenos Aires,Tigre,Tigre,6805010,380.0,12439.0,0.0,6533.0,6.0,5.0,0.0,176.0,19539.0,25.0,5.0,43.0,259.0,571.0,2.0,2774.0,15458.0
Buenos Aires,Tigre,Don Torcuato Oeste,6805010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,186.0,187.0,,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Buenos Aires,Tigre,Nordelta,6805010,0.0,5787.0,0.0,3596.0,0.0,0.0,0.0,0.0,9383.0,,0.0,0.0,0.0,4.0,0.0,0.0,9379.0
Buenos Aires,Tordillo,General Conesa,6812010,35.0,227.0,0.0,0.0,0.0,0.0,0.0,63.0,325.0,9.0,0.0,0.0,193.0,93.0,36.0,0.0,0.0
Buenos Aires,Tordillo,Villa Roch,6812010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Buenos Aires,Tornquist,Saldungaray,6819020,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,,0.0,0.0,4.0,612.0,0.0,0.0,0.0
Buenos Aires,Tornquist,Sierra de la Ventana,6819030,0.0,486.0,0.0,727.0,0.0,0.0,0.0,0.0,1213.0,,0.0,0.0,0.0,424.0,529.0,246.0,15.0
Buenos Aires,Tornquist,Tornquist,6819040,110.0,966.0,0.0,1461.0,0.0,1.0,0.0,0.0,2538.0,1.0,0.0,2.0,36.0,1764.0,300.0,356.0,99.0
Buenos Aires,Tornquist,Villa Serrana La Gruta,6819060,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,,0.0,0.0,0.0,119.0,0.0,0.0,0.0
Buenos Aires,Tornquist,Villa Ventana,6819070,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,,0.0,0.0,475.0,0.0,0.0,0.0,0.0
Buenos Aires,Trenque Lauquen,30 de Agosto,6826040,0.0,184.0,0.0,1396.0,2376.0,0.0,0.0,0.0,3956.0,,0.0,0.0,1300.0,1260.0,0.0,0.0,0.0
Buenos Aires,Trenque Lauquen,OTROS,Sin Datos,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,,,,,,,
Buenos Aires,Trenque Lauquen,Trenque Lauquen,6826050,2369.0,0.0,61.0,13543.0,0.0,1.0,0.0,1241.0,17215.0,,1.0,19.0,1376.0,9639.0,267.0,4795.0,3216.0
